age,job,contact,food,beverage,number_yoy,favorite_continent,prev_destination,season,destination,member,period,transport,budget
11,student,phone,sushi,Coffee,20,Asia,Hawaii of USA,fall,Vancouver,4,4,plane,300000
11,student,phone,sushi,Coffee,3,South America,Hawaii of USA,summer,New York,4,6,plane,300000
11,student,letter,sushi,Grapefruit,10,Asia,Hawaii of USA,summer,London,5,5,ship,380000
11,student,email,sushi,Kiwi,9,South America,Hawaii of USA,winter,null,5,5,plane,350000
11,student,letter,sushi,Mango,30,South America,Hawaii of USA,summer,Hawaii,4,5,walking,350000
11,student,email,sushi,Mango,8,South America,Hawaii of USA,summer,Paris,5,3,bicycle,380000
11,student,phone,sushi,Mango,5,South America,Hawaii of USA,summer,Hong Kong,4,4,plane,300000
11,student,letter,sushi,Mango,20,South America,Hawaii of USA,summer,New York,4,2,plane,310000
11,student,email,sushi,Coffee,7,South America,Hawaii of USA,winter,Paris,4,2,walking,300000
11,student,phone,sushi,Orange,8,Africa,Hawaii of USA,summer,New York,4,4,ship,350000
11,student,letter,sushi,Orange,30,Africa,Hawaii of USA,summer,Hong Kong,4,3,bicycle,350000
11,student,email,sushi,Orange,2,South America,Hawaii of USA,fall,Prague,5,5,walking,310000
11,student,phone,sushi,Orange,10,Asia,Hawaii of USA,spring,Hawaii,4,4,walking,320000
11,student,email,sushi,Strawberry,5,South America,Hawaii of USA,summer,London,5,4,ship,350000
11,student,email,sushi,Strawberry,5,South America,Hawaii of USA,summer,LA,4,3,plane,350000
11,student,phone,sushi,Watermelon,10,South America,Hawaii of USA,summer,Prague,4,6,plane,350000
12,student,email,sushi,Coffee,5,Africa,Hawaii of USA,winter,New York,4,2,walking,350000
12,student,letter,sushi,Coffee,5,Africa,Hawaii of USA,summer,LA,5,2,plane,350000
12,student,letter,sushi,Coffee,30,Africa,Hawaii of USA,summer,New York,5,2,bicycle,350000
12,student,letter,sushi,Coffee,9,Africa,Hawaii of USA,summer,Hawaii,5,2,walking,340000
12,student,letter,sushi,Grapefruit,30,Africa,Hawaii of USA,spring,Prague,4,1,bicycle,310000
12,student,email,sushi,Coffee,2,Africa,Hawaii of USA,summer,Singapore,4,1,walking,340000
12,student,phone,sushi,Orange,20,Africa,Hawaii of USA,summer,Paris,4,3,plane,320000
12,student,email,sushi,Orange,3,Africa,Hawaii of USA,summer,Prague,4,1,walking,350000
12,student,phone,sushi,Orange,5,Africa,Hawaii of USA,summer,LA,5,4,bicycle,300000
12,student,letter,sushi,Orange,6,Africa,Hawaii of USA,summer,Paris,4,1,plane,300000
12,student,letter,sushi,Orange,5,Africa,Hawaii of USA,summer,Paris,5,1,bicycle,320000
12,student,letter,sushi,Orange,5,Africa,Hawaii of USA,summer,Ho Chi Minh,5,2,walking,300000
12,student,letter,sushi,Orange,30,Africa,Hawaii of USA,fall,New York,5,1,walking,350000
12,student,email,sushi,Strawberry,4,Africa,Hawaii of USA,winter,null,4,2,plane,380000
12,student,phone,sushi,Tomato,7,Africa,Hawaii of USA,summer,LA,5,5,walking,310000
13,student,email,sushi,Coffee,3,North America,Hawaii of USA,summer,London,5,4,bicycle,300000
13,student,phone,sushi,Banana,8,North America,Hawaii of USA,summer,LA,5,3,ship,350000
13,student,letter,sushi,Banana,7,Africa,Hawaii of USA,summer,Sydney,4,1,walking,350000
13,student,phone,sushi,Coffee,3,Africa,Hawaii of USA,summer,Jeju,4,3,ship,340000
13,student,letter,sushi,Kiwi,9,Africa,Hawaii of USA,summer,Tokyo,4,4,walking,310000
13,student,phone,sushi,Orange,2,North America,Hawaii of USA,fall,Hawaii,5,2,plane,350000
13,student,email,sushi,Orange,9,Africa,Hawaii of USA,summer,London,4,6,walking,380000
13,student,letter,sushi,Orange,2,North America,Hawaii of USA,winter,Singapore,4,3,walking,350000
13,student,email,sushi,Orange,1,Africa,Hawaii of USA,summer,New York,4,4,bicycle,320000
13,student,email,sushi,Orange,3,North America,Hawaii of USA,fall,Hawaii,4,2,plane,300000
13,student,letter,sushi,Orange,2,North America,Hawaii of USA,spring,Vancouver,4,2,bicycle,380000
13,student,phone,sushi,Strawberry,4,North America,Hawaii of USA,summer,Vancouver,5,5,plane,350000
14,student,email,sushi,Apple,8,North America,Hawaii of USA,summer,Prague,5,6,plane,320000
14,student,letter,sushi,Apple,4,Asia,Hawaii of USA,spring,Ho Chi Minh,4,1,plane,340000
14,student,letter,sushi,Coffee,30,North America,Hawaii of USA,winter,Vancouver,4,4,plane,380000
14,student,letter,sushi,Coffee,4,North America,Hawaii of USA,summer,New York,4,5,walking,300000
14,student,phone,sushi,Kiwi,8,Asia,Hawaii of USA,summer,Prague,4,2,ship,380000
14,student,phone,sushi,Kiwi,6,Asia,Hawaii of USA,winter,London,5,1,walking,350000
14,student,letter,sushi,Mango,2,North America,Hawaii of USA,fall,London,4,4,plane,340000
14,student,phone,sushi,Mango,3,North America,Hawaii of USA,summer,Tokyo,4,17,bicycle,300000
14,student,letter,sushi,Orange,4,North America,Hawaii of USA,fall,London,5,1,plane,320000
14,student,phone,sushi,Orange,3,Asia,Hawaii of USA,summer,Vancouver,4,1,plane,300000
14,student,letter,sushi,Orange,2,North America,Hawaii of USA,summer,Tokyo,5,2,walking,320000
14,student,email,sushi,Orange,2,North America,Hawaii of USA,summer,New York,4,2,plane,350000
14,student,phone,sushi,Orange,5,North America,Hawaii of USA,summer,null,4,5,plane,350000
14,student,letter,sushi,Orange,6,North America,Hawaii of USA,summer,Tokyo,5,5,bicycle,320000
14,student,phone,sushi,Orange,4,North America,Hawaii of USA,summer,Jeju,4,2,bicycle,380000
14,student,email,sushi,Orange,5,Asia,Hawaii of USA,fall,null,4,1,walking,300000
14,student,email,sushi,Orange,1,North America,Hawaii of USA,summer,Vancouver,5,24,ship,350000
14,student,phone,sushi,Orange,3,North America,Hawaii of USA,summer,New York,4,2,ship,300000
14,student,phone,sushi,Orange,20,Asia,Hawaii of USA,spring,Vancouver,4,3,walking,350000
14,student,phone,sushi,Orange,6,North America,Hawaii of USA,summer,Jeju,4,3,ship,300000
14,student,phone,sushi,Orange,1,North America,Hawaii of USA,fall,Singapore,5,4,plane,350000
14,student,phone,sushi,Strawberry,7,North America,Hawaii of USA,summer,Singapore,4,1,plane,380000
14,student,email,sushi,Tomato,7,North America,Hawaii of USA,summer,Paris,5,2,walking,310000
20,student,phone,sushi,Apple,8,North America,Hawaii of USA,summer,LA,1,6,ship,350000
20,student,phone,sushi,Apple,10,North America,Hawaii of USA,summer,Sydney,2,5,walking,350000
20,student,phone,sushi,Apple,17,North America,Hawaii of USA,summer,Prague,1,4,plane,350000
20,student,phone,sushi,Apple,17,South America,Hawaii of USA,summer,Prague,2,1,bicycle,300000
20,student,email,sushi,Apple,19,South America,Hawaii of USA,summer,Vancouver,1,2,ship,310000
20,student,letter,sushi,Coffee,5,North America,Hawaii of USA,summer,London,1,4,ship,310000
20,student,letter,sushi,Coffee,19,Asia,Hawaii of USA,summer,Ho Chi Minh,2,4,bicycle,350000
20,student,email,sushi,Coffee,24,South America,Hawaii of USA,summer,Vancouver,2,1,ship,310000
20,student,email,sushi,Coffee,4,North America,Hawaii of USA,summer,New York,1,2,ship,380000
20,student,phone,sushi,Coffee,18,Asia,Hawaii of USA,winter,LA,2,3,plane,340000
20,student,phone,sushi,Grapefruit,17,North America,Hawaii of USA,fall,Hong Kong,8,3,plane,350000
20,student,phone,sushi,Grapefruit,23,South America,Hawaii of USA,fall,LA,2,17,plane,310000
20,student,letter,sushi,Kiwi,10,North America,Hawaii of USA,summer,Hong Kong,3,5,walking,380000
20,student,phone,sushi,Kiwi,19,North America,Hawaii of USA,summer,Sydney,3,3,plane,350000
20,student,email,sushi,Coffee,6,North America,Hawaii of USA,summer,New York,1,2,plane,300000
20,student,letter,sushi,Coffee,1,North America,Hawaii of USA,spring,LA,1,3,plane,350000
20,student,letter,sushi,Mango,23,Asia,Hawaii of USA,fall,Sydney,2,4,bicycle,320000
20,student,phone,sushi,Mango,19,South America,Hawaii of USA,fall,Prague,1,1,plane,350000
20,student,phone,sushi,Orange,10,North America,Hawaii of USA,summer,Ho Chi Minh,2,4,plane,380000
20,student,letter,sushi,Orange,23,North America,Hawaii of USA,fall,Hong Kong,1,4,walking,350000
20,student,letter,sushi,Orange,20,North America,Hawaii of USA,summer,Singapore,1,5,walking,350000
20,student,phone,sushi,Orange,9,North America,Hawaii of USA,summer,Jeju,2,4,bicycle,350000
20,student,email,sushi,Orange,23,North America,Hawaii of USA,winter,New York,1,1,ship,300000
20,student,phone,sushi,Orange,18,South America,Hawaii of USA,summer,LA,2,1,bicycle,350000
20,student,letter,sushi,Orange,7,North America,Hawaii of USA,fall,Vancouver,1,3,plane,300000
20,student,email,sushi,Orange,30,North America,Hawaii of USA,summer,London,1,3,ship,320000
20,student,email,sushi,Orange,18,North America,Hawaii of USA,summer,London,4,4,ship,300000
20,student,letter,sushi,Orange,17,Asia,Hawaii of USA,spring,London,1,15,bicycle,300000
20,student,letter,sushi,Orange,8,North America,Hawaii of USA,winter,Sydney,1,5,bicycle,310000
20,student,email,sushi,Orange,20,Asia,Hawaii of USA,summer,Vancouver,1,6,plane,340000
20,student,letter,sushi,Orange,24,Asia,Hawaii of USA,summer,Sydney,1,5,walking,300000
20,student,phone,sushi,Orange,20,South America,Hawaii of USA,fall,Paris,2,1,plane,320000
20,student,email,sushi,Orange,24,North America,Hawaii of USA,summer,Sydney,3,6,ship,350000
20,student,email,sushi,Orange,18,North America,Hawaii of USA,spring,Jeju,2,1,bicycle,340000
20,student,email,sushi,Orange,24,North America,Hawaii of USA,summer,Prague,1,2,walking,380000
20,student,phone,sushi,Orange,17,South America,Hawaii of USA,summer,LA,1,2,bicycle,320000
20,student,letter,sushi,Orange,18,South America,Hawaii of USA,summer,Paris,1,2,ship,300000
20,student,email,sushi,Strawberry,20,North America,Hawaii of USA,spring,Singapore,2,4,bicycle,340000
20,student,email,sushi,Strawberry,20,South America,Hawaii of USA,summer,London,1,2,ship,350000
20,student,letter,sushi,Watermelon,30,North America,Hawaii of USA,summer,Hong Kong,1,6,plane,320000
21,student,phone,sushi,Apple,3,Africa,Hawaii of USA,summer,Hawaii,3,2,bicycle,300000
21,student,letter,sushi,Apple,30,North America,Hawaii of USA,spring,London,1,1,plane,350000
21,student,phone,sushi,Apple,3,Africa,Hawaii of USA,summer,Vancouver,1,5,bicycle,300000
21,student,letter,sushi,Apple,23,North America,Hawaii of USA,winter,Sydney,1,5,plane,320000
21,student,phone,sushi,Coffee,6,Africa,Hawaii of USA,summer,Hong Kong,1,1,plane,350000
21,student,email,sushi,Coffee,6,Africa,Hawaii of USA,summer,Singapore,3,1,plane,320000
21,student,phone,sushi,Coffee,30,North America,Hawaii of USA,summer,Sydney,1,1,plane,380000
21,student,letter,sushi,Apple,1,Africa,Hawaii of USA,summer,New York,1,4,plane,300000
21,student,phone,sushi,Apple,18,North America,Hawaii of USA,summer,null,2,6,walking,340000
21,student,email,sushi,Apple,5,North America,Hawaii of USA,summer,Prague,1,3,plane,300000
21,student,phone,sushi,Banana,3,Africa,Hawaii of USA,summer,Singapore,1,5,walking,310000
21,student,phone,sushi,Coffee,20,North America,Hawaii of USA,winter,Hong Kong,8,15,plane,310000
21,student,phone,sushi,Coffee,10,Africa,Hawaii of USA,summer,LA,1,3,bicycle,320000
21,student,phone,sushi,Coffee,9,North America,Hawaii of USA,fall,New York,1,1,walking,350000
21,student,phone,sushi,Coffee,5,North America,Hawaii of USA,spring,Hong Kong,1,4,bicycle,350000
21,student,phone,sushi,Coffee,20,North America,Hawaii of USA,summer,Vancouver,2,2,bicycle,300000
21,student,letter,sushi,Coffee,7,North America,Hawaii of USA,summer,Vancouver,2,1,bicycle,300000
21,student,email,sushi,Coffee,23,North America,Hawaii of USA,summer,LA,1,5,bicycle,300000
21,student,phone,sushi,Coffee,18,North America,Hawaii of USA,summer,Prague,1,1,plane,300000
21,student,phone,sushi,Coffee,1,North America,Hawaii of USA,summer,Sydney,2,4,plane,320000
21,student,letter,sushi,Coffee,10,North America,Hawaii of USA,summer,Paris,2,1,plane,340000
21,student,email,sushi,Coffee,18,North America,Hawaii of USA,fall,London,2,3,bicycle,350000
21,student,phone,sushi,Coffee,6,North America,Hawaii of USA,summer,Sydney,1,3,plane,350000
21,student,email,sushi,Coffee,4,North America,Hawaii of USA,summer,Prague,1,2,walking,310000
21,student,phone,sushi,Coffee,5,South America,Hawaii of USA,summer,Singapore,2,1,ship,300000
21,student,letter,sushi,Coffee,20,Africa,Hawaii of USA,summer,Ho Chi Minh,4,1,bicycle,350000
21,student,phone,sushi,Coffee,10,Africa,Hawaii of USA,summer,Hawaii,3,1,plane,350000
21,student,phone,sushi,Grapefruit,7,North America,Hawaii of USA,summer,Vancouver,1,2,ship,300000
21,student,email,sushi,Grapefruit,6,North America,Hawaii of USA,summer,London,2,2,ship,350000
21,student,phone,sushi,Grapefruit,2,Africa,Hawaii of USA,summer,Jeju,2,16,plane,350000
21,student,email,sushi,Grapefruit,9,North America,Hawaii of USA,winter,Sydney,1,1,ship,300000
21,student,email,sushi,Grapefruit,7,Africa,Hawaii of USA,summer,Ho Chi Minh,1,6,walking,380000
21,student,phone,sushi,Kiwi,19,North America,Hawaii of USA,summer,Ho Chi Minh,4,2,bicycle,310000
21,student,email,sushi,Kiwi,9,North America,Hawaii of USA,summer,null,4,3,ship,350000
21,student,letter,sushi,Kiwi,7,Africa,Hawaii of USA,summer,LA,4,1,ship,310000
21,student,letter,sushi,Kiwi,19,North America,Hawaii of USA,summer,null,1,4,bicycle,300000
21,student,phone,sushi,Kiwi,17,North America,Hawaii of USA,summer,Singapore,1,6,bicycle,350000
21,student,email,sushi,Kiwi,24,North America,Hawaii of USA,winter,Tokyo,1,4,walking,340000
21,student,email,sushi,Kiwi,24,North America,Hawaii of USA,summer,Tokyo,1,2,plane,340000
21,student,email,sushi,Mango,9,Africa,Hawaii of USA,summer,null,3,3,plane,340000
21,student,letter,sushi,Mango,3,North America,Hawaii of USA,summer,Vancouver,2,2,bicycle,320000
21,student,letter,sushi,Mango,1,North America,Hawaii of USA,fall,Sydney,8,2,walking,350000
21,student,phone,sushi,Coffee,4,Africa,Hawaii of USA,summer,Jeju,2,3,walking,380000
21,student,email,sushi,Coffee,24,North America,Hawaii of USA,spring,Hong Kong,2,2,bicycle,350000
21,student,letter,sushi,Coffee,18,North America,Hawaii of USA,fall,Hawaii,1,5,plane,350000
21,student,email,sushi,Coffee,20,Africa,Hawaii of USA,spring,Jeju,2,6,walking,350000
21,student,letter,sushi,Coffee,2,Africa,Hawaii of USA,fall,London,1,1,bicycle,350000
21,student,email,sushi,Mango,1,North America,Hawaii of USA,summer,Hawaii,2,4,bicycle,350000
21,student,letter,sushi,Orange,19,North America,Hawaii of USA,summer,Prague,2,4,bicycle,310000
21,student,email,sushi,Orange,5,Africa,Hawaii of USA,summer,LA,1,3,walking,350000
21,student,phone,sushi,Orange,6,Africa,Hawaii of USA,summer,Prague,2,2,walking,380000
21,student,phone,sushi,Orange,2,North America,Hawaii of USA,summer,Prague,2,4,plane,310000
21,student,phone,sushi,Orange,23,North America,Hawaii of USA,summer,Vancouver,3,2,ship,350000
21,student,email,sushi,Orange,8,North America,Hawaii of USA,fall,London,2,1,walking,380000
21,student,email,sushi,Orange,8,North America,Hawaii of USA,fall,Sydney,2,2,plane,350000
21,student,phone,sushi,Orange,10,North America,Hawaii of USA,summer,Tokyo,1,1,plane,350000
21,student,letter,sushi,Orange,1,North America,Hawaii of USA,fall,Singapore,1,2,plane,300000
21,student,email,sushi,Orange,1,Africa,Hawaii of USA,summer,LA,1,4,walking,340000
21,student,letter,sushi,Orange,5,North America,Hawaii of USA,summer,London,1,23,ship,380000
21,student,letter,sushi,Orange,7,Africa,Hawaii of USA,spring,Paris,2,2,plane,350000
21,student,phone,sushi,Orange,20,North America,Hawaii of USA,summer,Hong Kong,1,4,plane,380000
21,student,letter,sushi,Orange,6,North America,Hawaii of USA,summer,Tokyo,1,5,plane,300000
21,student,letter,sushi,Orange,10,North America,Hawaii of USA,spring,New York,2,3,plane,300000
21,student,phone,sushi,Orange,3,Africa,Hawaii of USA,summer,Tokyo,1,3,walking,350000
21,student,letter,sushi,Orange,9,North America,Hawaii of USA,summer,Hawaii,2,6,walking,300000
21,student,letter,sushi,Orange,1,Africa,Hawaii of USA,summer,Vancouver,1,4,ship,350000
21,student,phone,sushi,Orange,20,North America,Hawaii of USA,summer,Tokyo,1,3,plane,350000
21,student,phone,sushi,Orange,1,North America,Hawaii of USA,fall,Sydney,2,3,plane,320000
21,student,letter,sushi,Orange,6,North America,Hawaii of USA,summer,Hawaii,2,1,walking,350000
21,student,phone,sushi,Orange,6,North America,Hawaii of USA,summer,Vancouver,2,1,bicycle,340000
21,student,phone,sushi,Orange,4,Africa,Hawaii of USA,summer,New York,1,5,ship,380000
21,student,email,sushi,Orange,8,North America,Hawaii of USA,summer,null,2,4,ship,350000
21,student,letter,sushi,Orange,10,South America,Hawaii of USA,summer,null,1,28,plane,350000
21,student,phone,sushi,Orange,2,North America,Hawaii of USA,summer,Prague,3,5,ship,320000
21,student,phone,sushi,Orange,19,North America,Hawaii of USA,winter,Tokyo,2,3,plane,380000
21,student,email,sushi,Orange,20,Africa,Hawaii of USA,summer,New York,1,4,ship,350000
21,student,letter,sushi,Orange,5,North America,Hawaii of USA,summer,null,2,2,walking,350000
21,student,letter,sushi,Orange,7,Africa,Hawaii of USA,winter,null,2,2,walking,340000
21,student,email,sushi,Orange,10,North America,Hawaii of USA,summer,null,3,4,walking,320000
21,student,email,sushi,Orange,7,Africa,Hawaii of USA,winter,Tokyo,1,4,plane,300000
21,student,email,sushi,Orange,6,North America,Hawaii of USA,spring,Paris,3,5,bicycle,350000
21,student,email,sushi,Orange,3,South America,Hawaii of USA,winter,Hawaii,3,1,plane,380000
21,student,phone,sushi,Orange,2,North America,Hawaii of USA,winter,Hawaii,2,3,walking,310000
21,student,email,sushi,Orange,17,North America,Hawaii of USA,summer,Ho Chi Minh,1,1,plane,320000
21,student,letter,sushi,Orange,17,North America,Hawaii of USA,fall,Tokyo,2,3,plane,310000
21,student,email,sushi,Orange,6,Africa,Hawaii of USA,fall,Vancouver,2,4,walking,350000
21,student,email,sushi,Orange,30,North America,Hawaii of USA,fall,Tokyo,1,6,walking,320000
21,student,letter,sushi,Orange,10,Africa,Hawaii of USA,summer,Jeju,1,4,ship,340000
21,student,letter,sushi,Orange,2,Africa,Hawaii of USA,winter,Paris,3,2,walking,340000
21,student,letter,sushi,Orange,3,North America,Hawaii of USA,summer,Singapore,1,5,walking,350000
21,student,phone,sushi,Orange,20,Africa,Hawaii of USA,summer,Jeju,1,2,ship,380000
21,student,phone,sushi,Orange,10,North America,Hawaii of USA,summer,Paris,1,4,ship,350000
21,student,letter,sushi,Orange,17,North America,Hawaii of USA,fall,Ho Chi Minh,1,5,plane,340000
21,student,letter,sushi,Strawberry,20,North America,Hawaii of USA,summer,Prague,1,1,walking,310000
21,student,email,sushi,Strawberry,20,North America,Hawaii of USA,spring,Tokyo,1,4,plane,350000
21,student,email,sushi,Strawberry,3,Africa,Hawaii of USA,summer,Prague,1,2,plane,350000
21,student,letter,sushi,Strawberry,8,Africa,Hawaii of USA,spring,Prague,1,1,bicycle,350000
21,student,phone,sushi,Strawberry,23,North America,Hawaii of USA,winter,London,3,4,plane,300000
21,student,phone,sushi,Strawberry,30,Africa,Hawaii of USA,summer,LA,2,5,bicycle,310000
21,student,letter,sushi,Strawberry,30,North America,Hawaii of USA,summer,LA,2,4,ship,350000
21,student,letter,sushi,Strawberry,4,North America,Hawaii of USA,summer,Ho Chi Minh,2,5,ship,350000
21,student,email,sushi,Strawberry,9,Africa,Hawaii of USA,summer,LA,2,6,bicycle,350000
21,student,phone,sushi,Strawberry,6,North America,Hawaii of USA,winter,London,1,4,plane,380000
21,student,phone,sushi,Strawberry,24,North America,Hawaii of USA,winter,Sydney,1,4,bicycle,350000
21,student,email,sushi,Tomato,6,North America,Hawaii of USA,summer,London,1,6,walking,350000
21,student,phone,sushi,Tomato,2,Africa,Hawaii of USA,summer,Sydney,2,4,walking,300000
21,student,letter,sushi,Tomato,5,North America,Hawaii of USA,summer,null,1,1,walking,350000
21,student,email,sushi,Watermelon,20,North America,Hawaii of USA,summer,Ho Chi Minh,1,2,bicycle,350000
21,student,phone,sushi,Watermelon,2,Africa,Hawaii of USA,winter,null,1,3,plane,300000
21,student,email,sushi,Watermelon,10,Africa,Hawaii of USA,winter,Hawaii,8,2,ship,320000
21,student,phone,sushi,Watermelon,18,North America,Hawaii of USA,summer,London,1,2,plane,300000
21,student,email,sushi,Watermelon,20,Africa,Hawaii of USA,summer,London,1,2,bicycle,350000
21,student,letter,sushi,Watermelon,17,North America,Hawaii of USA,winter,Hawaii,3,15,plane,300000
22,student,letter,sushi,Apple,21,North America,Hawaii of USA,summer,Sydney,1,2,walking,350000
22,student,email,sushi,Apple,6,North America,Hawaii of USA,summer,null,2,4,plane,300000
22,student,email,sushi,Apple,2,North America,Hawaii of USA,summer,Singapore,1,6,ship,300000
22,student,letter,sushi,Apple,2,North America,Hawaii of USA,summer,Prague,3,3,ship,350000
22,student,letter,sushi,Apple,6,North America,Hawaii of USA,winter,Jeju,1,4,ship,300000
22,student,email,sushi,Apple,21,North America,Hawaii of USA,spring,Hong Kong,4,4,bicycle,2998952
22,student,phone,sushi,Apple,6,North America,Hawaii of USA,summer,null,2,1,plane,350000
22,student,letter,sushi,Apple,2,North America,Hawaii of USA,summer,Sydney,1,1,bicycle,350000
22,student,phone,sushi,Apple,9,North America,Hawaii of USA,fall,null,1,5,walking,300000
22,student,letter,sushi,Apple,7,North America,Hawaii of USA,fall,Tokyo,8,25,plane,2999968
22,student,letter,sushi,Apple,30,North America,Hawaii of USA,spring,Ho Chi Minh,1,6,bicycle,300000
22,student,email,sushi,Apple,10,North America,Hawaii of USA,summer,Ho Chi Minh,2,3,ship,350000
22,student,email,sushi,Apple,21,North America,Hawaii of USA,summer,Hong Kong,3,5,walking,2998953
22,student,phone,sushi,Apple,6,North America,Hawaii of USA,summer,Sydney,2,6,bicycle,280000
22,student,email,sushi,Coffee,10,North America,Hawaii of USA,winter,Vancouver,1,3,bicycle,340000
22,student,email,sushi,Coffee,2,North America,Hawaii of USA,spring,Prague,2,1,plane,300000
22,student,letter,sushi,Coffee,5,North America,Hawaii of USA,fall,Tokyo,2,1,plane,350000
22,student,email,sushi,Coffee,30,North America,Hawaii of USA,summer,Sydney,2,5,plane,280000
22,student,letter,sushi,Coffee,20,North America,Hawaii of USA,summer,Ho Chi Minh,2,4,bicycle,280000
22,student,phone,sushi,Coffee,17,North America,Hawaii of USA,summer,Paris,1,3,ship,320000
22,student,letter,sushi,Coffee,9,North America,Hawaii of USA,summer,Singapore,2,1,bicycle,380000
22,student,email,sushi,Coffee,6,North America,Hawaii of USA,summer,Hong Kong,1,1,plane,340000
22,student,email,sushi,Coffee,23,North America,Hawaii of USA,summer,New York,2,2,plane,350000
22,student,letter,sushi,Coffee,6,North America,Hawaii of USA,summer,Tokyo,2,4,walking,290000
22,student,email,sushi,Apple,10,North America,Hawaii of USA,spring,Sydney,3,1,plane,350000
22,student,letter,sushi,Apple,21,North America,Hawaii of USA,summer,Sydney,2,4,plane,280000
22,student,email,sushi,Apple,8,North America,Hawaii of USA,fall,Hong Kong,1,6,bicycle,300000
22,student,letter,sushi,Apple,1,North America,Hawaii of USA,summer,Singapore,3,1,bicycle,340000
22,student,email,sushi,Apple,23,North America,Hawaii of USA,fall,Hawaii,1,3,plane,340000
22,student,email,sushi,Coffee,1,North America,Hawaii of USA,winter,Singapore,4,3,ship,380000
22,student,phone,sushi,Coffee,9,North America,Hawaii of USA,summer,Tokyo,2,6,walking,290000
22,student,phone,sushi,Coffee,21,North America,Hawaii of USA,summer,Hong Kong,1,3,walking,350000
22,student,phone,sushi,Coffee,1,North America,Hawaii of USA,summer,Tokyo,2,4,ship,350000
22,student,letter,sushi,Banana,20,North America,Hawaii of USA,summer,null,1,1,walking,350000
22,student,email,sushi,Banana,10,North America,Hawaii of USA,summer,London,1,2,walking,300000
22,student,letter,sushi,Banana,20,North America,Hawaii of USA,spring,Hawaii,2,5,bicycle,280000
22,student,letter,sushi,Banana,7,North America,Hawaii of USA,winter,Ho Chi Minh,1,2,walking,340000
22,student,phone,sushi,Banana,3,North America,Hawaii of USA,summer,Prague,3,6,walking,2998799
22,student,phone,sushi,Banana,7,North America,Hawaii of USA,winter,New York,2,3,ship,300000
22,student,phone,sushi,Banana,21,North America,Hawaii of USA,summer,Sydney,1,5,walking,300000
22,student,email,sushi,Coffee,21,North America,Hawaii of USA,summer,Paris,1,2,bicycle,380000
22,student,phone,sushi,Coffee,9,North America,Hawaii of USA,spring,Sydney,1,5,bicycle,300000
22,student,letter,sushi,Coffee,10,North America,Hawaii of USA,fall,Singapore,1,3,plane,300000
22,student,phone,sushi,Coffee,5,North America,Hawaii of USA,summer,Tokyo,2,4,bicycle,540000
22,student,phone,sushi,Coffee,30,North America,Hawaii of USA,summer,New York,1,5,bicycle,300000
22,student,letter,sushi,Coffee,3,North America,Hawaii of USA,winter,Hong Kong,1,4,plane,300000
22,student,email,sushi,Coffee,6,North America,Hawaii of USA,summer,Hawaii,2,3,walking,310000
